GEOID10,pop,sldl_2000,cd_2013,sldl_2013,sldu_2000,cd_2003,sldl_2010,sldu_2013,sldu_2010
090010103001011,0,151,004,151,036,004,151,036,036
090010103002000,6,151,004,151,036,004,151,036,036
090010103002001,277,151,004,151,036,004,151,036,036
090010103002002,0,151,004,151,036,004,151,036,036
090010103002003,21,151,004,151,036,004,151,036,036
090010103002004,0,151,004,151,036,004,151,036,036
090010103002005,10,151,004,151,036,004,151,036,036
090010103002006,0,151,004,151,036,004,151,036,036
090010103002007,32,151,004,151,036,004,151,036,036
090010103002008,0,151,004,151,036,004,151,036,036
090010103002009,25,151,004,151,036,004,151,036,036
090010103002010,89,151,004,151,036,004,151,036,036
090010103002011,0,151,004,151,036,004,151,036,036
090010103002012,0,151,004,151,036,004,151,036,036
090010103002013,234,151,004,151,036,004,151,036,036
090010103002014,136,151,004,151,036,004,151,036,036
090010103002015,75,151,004,151,036,004,151,036,036
090010103002016,0,151,004,151,036,004,151,036,036
090010103002017,26,151,004,151,036,004,151,036,036
090010103002018,0,151,004,151,036,004,151,036,036
090010103002019,22,151,004,151,036,004,151,036,036
090010103003000,147,149,004,149,036,004,149,036,036
090010103003001,25,149,004,149,036,004,149,036,036
090010103003002,11,149,004,149,036,004,149,036,036
090010103003003,28,149,004,151,036,004,149,036,036
090010103003004,0,151,004,151,036,004,151,036,036
090010103003005,73,149,004,151,036,004,149,036,036
090010103003006,2,149,004,151,036,004,149,036,036
090010103003007,0,149,004,151,036,004,149,036,036
090010103003008,16,149,004,149,036,004,149,036,036
090010103003009,67,149,004,151,036,004,149,036,036
090010103003010,0,149,004,151,036,004,149,036,036
090010103003011,28,149,004,151,036,004,149,036,036
090010103003012,0,149,004,151,036,004,149,036,036
090010103003013,249,151,004,151,036,004,151,036,036
090010103003014,0,151,004,151,036,004,151,036,036
090010103003015,0,149,004,149,036,004,149,036,036
090010103003016,0,151,004,151,036,004,151,036,036
090010103003017,9,149,004,151,036,004,149,036,036
090010103003018,0,149,004,151,036,004,149,036,036
090010103003019,0,149,004,149,036,004,149,036,036
090010103004000,49,149,004,149,036,004,149,036,036
090010103004001,38,149,004,149,036,004,149,036,036
090010103004002,18,149,004,149,036,004,149,036,036
090010103004003,4,149,004,149,036,004,149,036,036
090010103004004,0,149,004,149,036,004,149,036,036
090010103004005,126,149,004,149,036,004,149,036,036
090010103004006,0,149,004,149,036,004,149,036,036
090010103004007,13,149,004,149,036,004,149,036,036
090010103004008,20,149,004,149,036,004,149,036,036
090010103004009,18,149,004,149,036,004,149,036,036
090010103004010,63,149,004,149,036,004,149,036,036
090010103004011,35,149,004,151,036,004,149,036,036
090010103004012,0,149,004,149,036,004,149,036,036
090010103004013,93,149,004,149,036,004,149,036,036
090010103004014,35,149,004,149,036,004,149,036,036
090010103004015,21,149,004,149,036,004,149,036,036
090010103004016,43,149,004,149,036,004,149,036,036
090010103004017,12,149,004,149,036,004,149,036,036
090010103004018,101,149,004,149,036,004,149,036,036
090010103004019,48,149,004,149,036,004,149,036,036
090010103004020,0,149,004,149,036,004,149,036,036
090010103004021,8,149,004,149,036,004,149,036,036
090010103004022,75,149,004,149,036,004,149,036,036
090010103005000,360,149,004,149,036,004,149,036,036
090010103005001,0,149,004,149,036,004,149,036,036
090010103005002,43,149,004,149,036,004,149,036,036
090010103005003,51,149,004,149,036,004,149,036,036
090010103005004,38,149,004,149,036,004,149,036,036
090010103005005,1,149,004,149,036,004,149,036,036
090010103005006,78,149,004,149,036,004,149,036,036
090010103005007,0,149,004,149,036,004,149,036,036
090010103005008,0,149,004,149,036,004,149,036,036
090010103005009,74,149,004,149,036,004,149,036,036
090010103005010,0,149,004,149,036,004,149,036,036
090010103005011,33,149,004,149,036,004,149,036,036
090010103005012,91,149,004,149,036,004,149,036,036
090010103005013,7,149,004,149,036,004,149,036,036
090010103005014,15,149,004,149,036,004,149,036,036
090010103005015,0,149,004,149,036,004,149,036,036
090010103005016,54,149,004,149,036,004,149,036,036
090010103005017,30,149,004,149,036,004,149,036,036
090010104001000,739,149,004,149,036,004,149,036,036
090010104001001,20,149,004,149,036,004,149,036,036
090010104001002,43,149,004,149,036,004,149,036,036
090010104001003,0,149,004,149,036,004,149,036,036
090010104001004,0,149,004,149,036,004,149,036,036
090010104001005,1,149,004,149,036,004,149,036,036
090010104001006,0,149,004,149,036,004,149,036,036
090010104001007,117,149,004,149,036,004,149,036,036
090010104001008,22,149,004,149,036,004,149,036,036
090010104002000,197,149,004,149,036,004,149,036,036
090010104002001,90,149,004,149,036,004,149,036,036
090010104002002,20,149,004,149,036,004,149,036,036
090010104002003,360,149,004,149,036,004,149,036,036
090010104002004,20,149,004,149,036,004,149,036,036
090010104002005,35,149,004,149,036,004,149,036,036
090010104002006,190,149,004,149,036,004,149,036,036
090010104002007,0,149,004,149,036,004,149,036,036
090010104002008,197,149,004,149,036,004,149,036,036
090010104002009,2,149,004,149,036,004,149,036,036
090010104002010,60,149,004,149,036,004,149,036,036
090010104003000,19,149,004,149,036,004,149,036,036
090010104003001,154,149,004,149,036,004,149,036,036
090010104003002,0,149,004,149,036,004,149,036,036
090010104003003,39,149,004,149,036,004,149,036,036
090010104003004,40,149,004,149,036,004,149,036,036
090010104003005,0,149,004,149,036,004,149,036,036
090010104003006,60,149,004,149,036,004,149,036,036
090010104003007,53,149,004,149,036,004,149,036,036
090010104003008,22,149,004,149,036,004,149,036,036
090010104003009,58,149,004,149,036,004,149,036,036
090010104003010,246,149,004,149,036,004,149,036,036
090010104003011,273,149,004,149,036,004,149,036,036
090010104003012,61,149,004,149,036,004,149,036,036
090010104003013,8,149,004,149,036,004,149,036,036
090010104003014,47,149,004,149,036,004,149,036,036
090010104003015,15,149,004,149,036,004,149,036,036
090010104004000,26,149,004,149,036,004,149,036,036
090010104004001,463,149,004,149,036,004,149,036,036
090010104004002,146,149,004,149,036,004,149,036,036
090010104004003,0,149,004,149,036,004,149,036,036
